001.161.166.210 - 001.161.166.210 , 100 , CPBL
001.162.005.215 - 001.162.005.215 , 100 , CPBL
001.162.018.135 - 001.162.018.135 , 100 , CPBL
001.162.062.076 - 001.162.062.076 , 100 , CPBL
001.162.197.067 - 001.162.197.067 , 100 , CPBL
001.162.237.203 - 001.162.237.203 , 100 , CPBL
001.162.247.182 - 001.162.247.182 , 100 , CPBL
001.165.086.066 - 001.165.086.066 , 100 , CPBL
001.165.106.196 - 001.165.106.196 , 100 , CPBL
001.165.141.054 - 001.165.141.054 , 100 , CPBL
001.168.081.085 - 001.168.081.085 , 100 , CPBL
001.168.083.039 - 001.168.083.039 , 100 , CPBL
001.168.094.078 - 001.168.094.078 , 100 , CPBL
001.169.246.231 - 001.169.246.231 , 100 , CPBL
001.171.051.111 - 001.171.051.111 , 100 , CPBL
001.174.208.030 - 001.174.208.030 , 100 , CPBL
001.178.125.067 - 001.178.125.067 , 100 , CPBL
001.178.222.238 - 001.178.222.238 , 100 , CPBL
001.180.246.242 - 001.180.246.242 , 100 , CPBL
001.181.136.076 - 001.181.136.076 , 100 , CPBL
001.181.170.090 - 001.181.170.090 , 100 , CPBL
001.182.013.116 - 001.182.013.116 , 100 , CPBL
001.182.043.089 - 001.182.043.089 , 100 , CPBL
001.182.047.008 - 001.182.047.008 , 100 , CPBL
001.183.070.151 - 001.183.070.151 , 100 , CPBL
001.183.084.057 - 001.183.084.057 , 100 , CPBL
001.183.129.194 - 001.183.129.194 , 100 , CPBL
001.189.094.192 - 001.189.094.192 , 100 , CPBL
001.189.101.252 - 001.189.101.252 , 100 , CPBL
001.192.061.070 - 001.192.061.070 , 100 , CPBL
001.192.063.054 - 001.192.063.054 , 100 , CPBL
001.192.080.248 - 001.192.080.248 , 100 , CPBL
001.197.102.062 - 001.197.102.062 , 100 , CPBL
001.198.031.248 - 001.198.031.248 , 100 , CPBL
001.204.114.092 - 001.204.114.092 , 100 , CPBL
001.204.166.003 - 001.204.166.003 , 100 , CPBL
001.204.206.182 - 001.204.206.182 , 100 , CPBL
001.205.158.250 - 001.205.158.250 , 100 , CPBL
001.206.055.080 - 001.206.055.080 , 100 , CPBL
001.207.003.047 - 001.207.003.047 , 100 , CPBL
001.209.110.147 - 001.209.110.147 , 100 , CPBL
001.212.225.099 - 001.212.225.099 , 100 , CPBL
001.213.214.233 - 001.213.214.233 , 100 , CPBL
001.214.029.155 - 001.214.029.155 , 100 , CPBL
001.214.042.172 - 001.214.042.172 , 100 , CPBL
001.214.117.218 - 001.214.117.218 , 100 , CPBL
001.214.197.163 - 001.214.197.163 , 100 , CPBL
001.214.214.114 - 001.214.214.114 , 100 , CPBL
001.215.138.043 - 001.215.138.043 , 100 , CPBL
